,trial,score_dif,userid,gridtype,gridnum
11753,1,0.0,3,Push,102
13151,2,1.0,3,Push,105
13601,3,1.0,3,Push,106
14405,4,1.0,3,Push,104
14921,1,0.0,9,Push,103
15131,1,1.0,4,Push,104
15143,1,1.0,8,Push,104
16193,2,1.0,9,Push,105
17069,1,1.0,1,Push,105
19223,1,1.0,2,Push,104
19463,2,1.0,1,Push,103
19685,1,0.0,22,Push,106
19811,2,1.0,2,Push,101
19829,2,1.0,8,Push,101
19919,5,1.0,3,Push,107
19967,3,1.0,1,Push,106
20297,3,1.0,2,Push,108
20699,1,0.0,5,Push,102
20783,1,0.0,13,Push,104
20843,2,1.0,4,Push,101
21107,4,1.0,1,Push,107
21185,1,0.0,10,Push,108
21425,2,1.0,5,Push,104
21671,1,1.0,6,Push,105
21965,3,0.0,8,Push,103
22109,4,1.0,2,Push,107
22643,5,1.0,2,Push,102
22727,3,1.0,9,Push,108
23435,2,1.0,22,Push,102
23753,1,0.0,23,Push,104
23759,6,1.0,3,Push,103
23795,1,0.0,12,Push,103
23807,2,1.0,6,Push,106
23891,3,1.0,22,Push,108
24209,4,1.0,9,Push,101
24239,7,1.0,3,Push,108
24701,2,1.0,23,Push,101
25061,1,1.0,11,Push,107
25343,3,1.0,6,Push,104
25415,5,1.0,1,Push,101
25427,2,0.0,12,Push,104
25601,3,1.0,5,Push,108
25907,6,1.0,1,Push,102
25943,8,1.0,3,Push,101
26123,4,1.0,22,Push,104
26417,1,1.0,15,Push,107
26579,3,1.0,12,Push,106
27011,1,0.0,26,Push,106
27131,4,1.0,12,Push,107
27173,3,1.0,23,Push,105
27179,3,1.0,4,Push,106
27545,7,1.0,1,Push,108
28331,1,0.0,43,Push,106
28355,4,1.0,5,Push,106
28361,5,1.0,9,Push,104
28571,5,1.0,12,Push,102
28631,4,1.0,4,Push,105
28681,2,0.0,10,Push,103
28823,2,0.0,43,Push,104
29063,1,0.0,17,Push,103
29321,6,1.0,9,Push,102
29513,1,0.0,39,Push,102
29633,2,1.0,17,Push,105
29663,5,1.0,4,Push,103
29867,3,1.0,10,Push,107
30053,2,1.0,11,Push,108
30149,4,0.0,23,Push,103
30293,7,1.0,9,Push,107
30419,8,1.0,1,Push,104
30491,1,0.0,31,Push,103
30509,1,0.0,47,Push,106
30761,6,1.0,12,Push,105
30803,1,0.0,54,Push,107
30905,4,0.0,8,Push,107
30977,3,1.0,11,Push,103
31055,4,0.0,10,Push,102
31181,2,1.0,39,Push,106
31271,3,0.0,43,Push,107
31475,4,1.0,11,Push,102
31535,5,1.0,8,Push,105
31769,5,0.0,23,Push,102
32141,5,1.0,5,Push,103
32147,1,0.0,40,Push,103
32285,6,1.0,4,Push,102
32363,4,1.0,43,Push,101
32501,1,1.0,14,Push,104
32747,6,0.0,23,Push,107
32783,1,0.0,45,Push,108
32903,3,0.0,17,Push,102
32951,2,0.0,31,Push,107
32987,2,0.0,54,Push,106
33137,5,1.0,11,Push,104
33653,2,1.0,15,Push,104
33671,6,1.0,11,Push,105
33719,2,1.0,26,Push,105
33875,8,1.0,9,Push,106
33971,1,0.0,25,Push,108
34091,2,0.0,14,Push,102
34127,3,1.0,54,Push,104
34253,7,1.0,11,Push,101
34541,7,1.0,12,Push,108
34565,5,1.0,10,Push,105
34577,6,1.0,8,Push,102
34865,3,1.0,15,Push,105
35035,6,1.0,5,Push,107
35069,7,1.0,8,Push,108
35111,2,1.0,47,Push,101
35159,5,0.0,43,Push,103
35171,1,0.0,48,Push,106
35255,1,1.0,37,Push,102
35381,3,1.0,14,Push,105
35483,7,1.0,4,Push,108
35495,7,1.0,5,Push,101
35537,2,0.0,13,Push,102
35567,6,0.0,43,Push,108
35579,2,0.0,45,Push,107
35615,1,1.0,28,Push,101
35693,4,1.0,15,Push,103
35879,2,1.0,37,Push,103
35915,1,0.0,21,Push,108
35933,1,0.0,34,Push,108
36053,4,1.0,6,Push,108
36077,3,1.0,45,Push,104
36269,3,1.0,13,Push,105
36281,6,1.0,10,Push,106
36293,5,1.0,15,Push,108
36305,3,0.0,26,Push,104
36335,2,1.0,40,Push,105
36653,2,1.0,25,Push,106
36689,7,1.0,23,Push,106
36821,1,0.0,27,Push,107
36875,8,1.0,4,Push,107
37019,4,1.0,13,Push,106
37067,6,1.0,2,Push,103
37097,2,1.0,34,Push,101
37181,4,0.0,17,Push,104
37217,8,1.0,8,Push,106
37643,3,1.0,34,Push,106
37721,1,0.0,38,Push,103
37745,8,0.0,23,Push,108
37763,8,1.0,5,Push,105
37823,2,0.0,48,Push,103
37859,1,0.0,76,Push,101
37865,4,0.0,14,Push,107
38057,7,1.0,2,Push,106
38267,4,1.0,34,Push,102
38291,2,1.0,28,Push,108
38375,4,0.0,26,Push,102
38387,3,1.0,47,Push,104
38501,3,1.0,37,Push,106
38807,5,1.0,34,Push,107
38903,4,1.0,54,Push,101
38939,4,1.0,47,Push,103
39059,8,1.0,2,Push,105
39131,8,1.0,12,Push,101
39203,3,0.0,48,Push,107
39263,8,1.0,11,Push,106
39275,1,0.0,79,Push,107
39491,1,1.0,64,Push,107
39527,7,1.0,10,Push,101
39587,4,1.0,37,Push,108
39803,1,0.0,83,Push,101
40067,8,1.0,10,Push,104
40145,3,1.0,39,Push,107
40193,2,0.0,38,Push,102
40277,5,1.0,14,Push,103
40301,7,0.0,43,Push,102
40391,1,0.0,41,Push,103
40589,5,1.0,47,Push,108
40889,2,0.0,76,Push,105
40967,5,1.0,6,Push,102
40997,3,0.0,31,Push,105
41075,2,0.0,41,Push,106
41153,5,1.0,13,Push,101
41159,4,1.0,39,Push,103
41171,1,0.0,30,Push,101
41393,5,0.0,26,Push,103
41477,2,1.0,27,Push,105
