,trial,score_dif,userid,gridtype,gridnum
8255,1,1.0,3,Switch,207
11471,1,1.0,1,Switch,208
12659,2,1.0,3,Switch,205
13343,2,1.0,1,Switch,201
13523,1,1.0,9,Switch,204
14687,1,1.0,8,Switch,207
14753,1,1.0,5,Switch,202
15791,3,1.0,3,Switch,206
16037,3,1.0,1,Switch,205
16307,4,0.0,3,Switch,208
16763,5,1.0,3,Switch,202
16853,2,1.0,5,Switch,205
17267,2,1.0,9,Switch,206
17393,3,1.0,5,Switch,204
17627,6,1.0,3,Switch,203
17837,2,1.0,8,Switch,206
18467,4,1.0,5,Switch,203
18563,7,1.0,3,Switch,201
19493,1,1.0,11,Switch,205
19847,3,1.0,9,Switch,201
19913,1,1.0,6,Switch,207
20375,3,1.0,8,Switch,203
20465,1,1.0,12,Switch,208
20669,2,1.0,6,Switch,208
20963,1,0.0,2,Switch,208
21329,1,1.0,13,Switch,208
21635,1,1.0,22,Switch,201
21659,2,1.0,2,Switch,204
22037,4,1.0,1,Switch,204
22271,1,1.0,10,Switch,202
22907,2,1.0,10,Switch,207
23339,2,1.0,12,Switch,205
23411,5,1.0,1,Switch,203
23645,2,1.0,11,Switch,203
23663,3,1.0,2,Switch,207
23831,1,1.0,4,Switch,206
23915,6,1.0,1,Switch,207
24503,3,1.0,10,Switch,203
24539,2,1.0,22,Switch,208
24671,4,1.0,9,Switch,202
24755,3,1.0,12,Switch,203
25019,7,1.0,1,Switch,202
25055,3,1.0,22,Switch,206
25163,4,1.0,2,Switch,202
25211,1,1.0,23,Switch,204
25535,1,1.0,15,Switch,206
25685,2,1.0,23,Switch,206
26009,3,1.0,11,Switch,204
26111,5,1.0,9,Switch,208
26153,2,1.0,4,Switch,202
26159,3,1.0,23,Switch,207
26189,4,1.0,8,Switch,204
26651,5,1.0,2,Switch,206
26663,3,1.0,6,Switch,203
26771,5,0.0,5,Switch,208
26987,8,1.0,3,Switch,204
27047,2,1.0,15,Switch,203
27473,1,1.0,39,Switch,203
27677,3,1.0,15,Switch,204
27815,4,1.0,22,Switch,205
28133,4,1.0,23,Switch,202
28691,1,1.0,45,Switch,205
