gridnum,model,iterations,score
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
101,dual,0,0
101,mc,0,-1
