,user_id,grid_num,score_dif,time_constraint,in_distrib,time_x_distrib,push,time_x_push
0,2,104,-1,-0.5,-0.5,0.25,0.5,-0.25
1,2,103,-1,-0.5,-0.5,0.25,0.5,-0.25
2,2,201,0,-0.5,-0.5,0.25,-0.5,0.25
3,2,205,0,-0.5,-0.5,0.25,-0.5,0.25
4,2,105,-1,-0.5,-0.5,0.25,0.5,-0.25
5,2,208,0,-0.5,-0.5,0.25,-0.5,0.25
6,2,108,-1,-0.5,-0.5,0.25,0.5,-0.25
7,2,202,0,-0.5,-0.5,0.25,-0.5,0.25
8,2,203,0,-0.5,-0.5,0.25,-0.5,0.25
9,2,206,0,-0.5,-0.5,0.25,-0.5,0.25
10,2,101,-1,-0.5,-0.5,0.25,0.5,-0.25
11,2,106,0,-0.5,-0.5,0.25,0.5,-0.25
12,2,107,0,-0.5,-0.5,0.25,0.5,-0.25
13,2,204,0,-0.5,-0.5,0.25,-0.5,0.25
14,2,207,0,-0.5,-0.5,0.25,-0.5,0.25
15,2,102,-1,-0.5,-0.5,0.25,0.5,-0.25
16,3,101,-1,-0.5,-0.5,0.25,0.5,-0.25
17,3,204,0,-0.5,-0.5,0.25,-0.5,0.25
18,3,202,-1,-0.5,-0.5,0.25,-0.5,0.25
19,3,205,0,-0.5,-0.5,0.25,-0.5,0.25
20,3,201,0,-0.5,-0.5,0.25,-0.5,0.25
21,3,105,-1,-0.5,-0.5,0.25,0.5,-0.25
22,3,103,-1,-0.5,-0.5,0.25,0.5,-0.25
23,3,206,0,-0.5,-0.5,0.25,-0.5,0.25
24,3,208,-1,-0.5,-0.5,0.25,-0.5,0.25
25,3,207,0,-0.5,-0.5,0.25,-0.5,0.25
26,3,203,-1,-0.5,-0.5,0.25,-0.5,0.25
27,3,107,-1,-0.5,-0.5,0.25,0.5,-0.25
28,3,106,-1,-0.5,-0.5,0.25,0.5,-0.25
29,5,206,0,-0.5,-0.5,0.25,-0.5,0.25
30,5,103,-1,-0.5,-0.5,0.25,0.5,-0.25
31,5,204,0,-0.5,-0.5,0.25,-0.5,0.25
32,5,208,0,-0.5,-0.5,0.25,-0.5,0.25
33,5,202,0,-0.5,-0.5,0.25,-0.5,0.25
34,5,107,-1,-0.5,-0.5,0.25,0.5,-0.25
35,5,101,-1,-0.5,-0.5,0.25,0.5,-0.25
36,5,205,0,-0.5,-0.5,0.25,-0.5,0.25
37,6,204,0,-0.5,-0.5,0.25,-0.5,0.25
38,5,106,-1,-0.5,-0.5,0.25,0.5,-0.25
39,4,202,-1,-0.5,-0.5,0.25,-0.5,0.25
40,4,203,-1,-0.5,-0.5,0.25,-0.5,0.25
41,5,104,-1,-0.5,-0.5,0.25,0.5,-0.25
42,6,105,0,-0.5,-0.5,0.25,0.5,-0.25
43,6,202,0,-0.5,-0.5,0.25,-0.5,0.25
44,5,102,-1,-0.5,-0.5,0.25,0.5,-0.25
45,5,207,0,-0.5,-0.5,0.25,-0.5,0.25
46,5,108,-1,-0.5,-0.5,0.25,0.5,-0.25
47,6,101,0,-0.5,-0.5,0.25,0.5,-0.25
48,5,201,-1,-0.5,-0.5,0.25,-0.5,0.25
49,4,205,0,-0.5,-0.5,0.25,-0.5,0.25
50,6,207,0,-0.5,-0.5,0.25,-0.5,0.25
51,6,104,0,-0.5,-0.5,0.25,0.5,-0.25
52,4,108,-1,-0.5,-0.5,0.25,0.5,-0.25
53,6,205,0,-0.5,-0.5,0.25,-0.5,0.25
54,4,103,-1,-0.5,-0.5,0.25,0.5,-0.25
55,4,101,-1,-0.5,-0.5,0.25,0.5,-0.25
56,6,108,-1,-0.5,-0.5,0.25,0.5,-0.25
57,6,107,0,-0.5,-0.5,0.25,0.5,-0.25
58,6,208,0,-0.5,-0.5,0.25,-0.5,0.25
59,6,106,0,-0.5,-0.5,0.25,0.5,-0.25
60,6,203,0,-0.5,-0.5,0.25,-0.5,0.25
61,6,206,0,-0.5,-0.5,0.25,-0.5,0.25
62,6,103,0,-0.5,-0.5,0.25,0.5,-0.25
63,6,102,-1,-0.5,-0.5,0.25,0.5,-0.25
64,4,102,-1,-0.5,-0.5,0.25,0.5,-0.25
65,6,201,0,-0.5,-0.5,0.25,-0.5,0.25
66,4,208,0,-0.5,-0.5,0.25,-0.5,0.25
67,4,107,-1,-0.5,-0.5,0.25,0.5,-0.25
68,4,207,0,-0.5,-0.5,0.25,-0.5,0.25
69,4,104,-1,-0.5,-0.5,0.25,0.5,-0.25
70,4,204,0,-0.5,-0.5,0.25,-0.5,0.25
71,4,206,0,-0.5,-0.5,0.25,-0.5,0.25
72,4,105,0,-0.5,-0.5,0.25,0.5,-0.25
73,4,201,0,-0.5,-0.5,0.25,-0.5,0.25
74,4,106,-1,-0.5,-0.5,0.25,0.5,-0.25
75,9,108,-1,-0.5,-0.5,0.25,0.5,-0.25
76,9,201,0,-0.5,-0.5,0.25,-0.5,0.25
77,9,205,0,-0.5,-0.5,0.25,-0.5,0.25
78,9,206,0,-0.5,-0.5,0.25,-0.5,0.25
79,9,102,-1,-0.5,-0.5,0.25,0.5,-0.25
80,9,203,0,-0.5,-0.5,0.25,-0.5,0.25
81,9,104,0,-0.5,-0.5,0.25,0.5,-0.25
82,9,101,0,-0.5,-0.5,0.25,0.5,-0.25
83,9,106,0,-0.5,-0.5,0.25,0.5,-0.25
84,9,204,0,-0.5,-0.5,0.25,-0.5,0.25
85,9,103,0,-0.5,-0.5,0.25,0.5,-0.25
86,9,107,0,-0.5,-0.5,0.25,0.5,-0.25
87,9,105,0,-0.5,-0.5,0.25,0.5,-0.25
88,9,208,0,-0.5,-0.5,0.25,-0.5,0.25
89,9,202,0,-0.5,-0.5,0.25,-0.5,0.25
90,9,207,0,-0.5,-0.5,0.25,-0.5,0.25
91,10,108,-1,-0.5,-0.5,0.25,0.5,-0.25
92,10,206,0,-0.5,-0.5,0.25,-0.5,0.25
93,10,106,-1,-0.5,-0.5,0.25,0.5,-0.25
94,10,202,-1,-0.5,-0.5,0.25,-0.5,0.25
95,10,107,-1,-0.5,-0.5,0.25,0.5,-0.25
96,10,205,0,-0.5,-0.5,0.25,-0.5,0.25
97,10,101,-1,-0.5,-0.5,0.25,0.5,-0.25
98,10,207,-1,-0.5,-0.5,0.25,-0.5,0.25
99,10,208,0,-0.5,-0.5,0.25,-0.5,0.25
100,10,103,-1,-0.5,-0.5,0.25,0.5,-0.25
101,10,203,0,-0.5,-0.5,0.25,-0.5,0.25
102,10,204,0,-0.5,-0.5,0.25,-0.5,0.25
103,10,104,-1,-0.5,-0.5,0.25,0.5,-0.25
104,10,201,0,-0.5,-0.5,0.25,-0.5,0.25
105,10,102,-1,-0.5,-0.5,0.25,0.5,-0.25
106,11,203,0,-0.5,-0.5,0.25,-0.5,0.25
107,11,104,-1,-0.5,-0.5,0.25,0.5,-0.25
108,11,206,0,-0.5,-0.5,0.25,-0.5,0.25
109,11,107,-1,-0.5,-0.5,0.25,0.5,-0.25
110,11,204,0,-0.5,-0.5,0.25,-0.5,0.25
111,11,205,0,-0.5,-0.5,0.25,-0.5,0.25
112,11,105,-1,-0.5,-0.5,0.25,0.5,-0.25
113,11,106,0,-0.5,-0.5,0.25,0.5,-0.25
114,11,103,0,-0.5,-0.5,0.25,0.5,-0.25
115,11,202,0,-0.5,-0.5,0.25,-0.5,0.25
116,11,108,0,-0.5,-0.5,0.25,0.5,-0.25
117,11,207,0,-0.5,-0.5,0.25,-0.5,0.25
118,11,208,0,-0.5,-0.5,0.25,-0.5,0.25
119,11,201,0,-0.5,-0.5,0.25,-0.5,0.25
120,11,101,0,-0.5,-0.5,0.25,0.5,-0.25
121,13,104,-1,-0.5,-0.5,0.25,0.5,-0.25
122,13,208,0,-0.5,-0.5,0.25,-0.5,0.25
123,13,205,0,-0.5,-0.5,0.25,-0.5,0.25
124,13,107,-1,-0.5,-0.5,0.25,0.5,-0.25
125,13,203,0,-0.5,-0.5,0.25,-0.5,0.25
126,13,207,0,-0.5,-0.5,0.25,-0.5,0.25
127,13,103,-1,-0.5,-0.5,0.25,0.5,-0.25
128,13,202,0,-0.5,-0.5,0.25,-0.5,0.25
129,13,201,0,-0.5,-0.5,0.25,-0.5,0.25
130,13,108,-1,-0.5,-0.5,0.25,0.5,-0.25
131,13,106,-1,-0.5,-0.5,0.25,0.5,-0.25
132,13,102,-1,-0.5,-0.5,0.25,0.5,-0.25
133,13,206,0,-0.5,-0.5,0.25,-0.5,0.25
134,13,105,0,-0.5,-0.5,0.25,0.5,-0.25
135,13,101,-1,-0.5,-0.5,0.25,0.5,-0.25
136,17,206,0,-0.5,-0.5,0.25,-0.5,0.25
137,17,207,0,-0.5,-0.5,0.25,-0.5,0.25
138,17,104,0,-0.5,-0.5,0.25,0.5,-0.25
139,17,201,0,-0.5,-0.5,0.25,-0.5,0.25
140,17,107,-1,-0.5,-0.5,0.25,0.5,-0.25
141,17,101,0,-0.5,-0.5,0.25,0.5,-0.25
142,17,204,0,-0.5,-0.5,0.25,-0.5,0.25
143,17,108,0,-0.5,-0.5,0.25,0.5,-0.25
